trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.002, 'e': 0.9473309438568531}",25,0,-80.34743421822401,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.9466885370690631}",25,0,-157.59892613930438,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
165,False,"{'a': 0.002, 'e': 0.946042343528387}",20,0,-51.98446724422054,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.9453923658195982}",20,0,-65.96210116183732,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.002, 'e': 0.9447386065426066}",20,0,-69.67736056293879,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.002, 'e': 0.9440810683124485}",20,0,-101.10881053688715,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
169,False,"{'a': 0.002, 'e': 0.9434197537592759}",25,0,-37.363147246175636,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
170,False,"{'a': 0.002, 'e': 0.9427546655283462}",25,11,-63.55595701837689,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
171,False,"{'a': 0.002, 'e': 0.9420858062800114}",20,0,-0.9380211879875051,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.002, 'e': 0.9414131786897075}",25,0,-210.5528053875213,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
173,False,"{'a': 0.002, 'e': 0.9407367854479443}",30,0,-153.1719010907708,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
174,False,"{'a': 0.002, 'e': 0.9400566292602934}",25,0,-125.8350696577854,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
175,False,"{'a': 0.002, 'e': 0.9393727128473789}",25,0,-79.00225535165573,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.9386850389448655}",20,0,-160.573087167592,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
177,False,"{'a': 0.002, 'e': 0.937993610303448}",25,2,-60.965995369784515,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.9372984296888399}",20,0,-23.371421333572524,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
179,False,"{'a': 0.002, 'e': 0.9365994998817627}",25,0,-127.18071650945676,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
180,False,"{'a': 0.002, 'e': 0.9358968236779348}",20,0,-106.52398920324035,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
181,False,"{'a': 0.002, 'e': 0.9351904038880602}",20,15,-1.2654533665172498,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.002, 'e': 0.9344802433378168}",20,0,-135.46370448119552,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
